30938 31961
0 1 -1
0 2 -1
1 3 -1
1 4 -1
2 5 -1
2 6 -1
3 7 -1
3 8 -1
4 9 -1
4 10 -1
5 11 -1
5 12 -1
6 13 -1
6 14 -1
7 15 -1
7 16 -1
8 17 -1
8 18 -1
9 19 -1
9 20 -1
10 21 -1
10 22 -1
11 23 -1
11 24 -1
12 25 -1
12 26 -1
13 27 -1
13 28 -1
14 29 -1
14 30 -1
15 31 -1
15 32 -1
16 33 -1
16 34 -1
17 35 -1
17 36 -1
18 37 -1
18 38 -1
19 39 -1
19 40 -1
20 41 -1
20 42 -1
21 43 -1
21 44 -1
22 45 -1
22 46 -1
23 47 -1
23 48 -1
24 49 -1
24 50 -1
25 51 -1
25 52 -1
26 53 -1
26 54 -1
27 55 -1
27 56 -1
28 57 -1
28 58 -1
29 59 -1
29 60 -1
30 61 -1
30 62 -1
31 63 -1
31 64 -1
32 65 -1
32 66 -1
33 67 -1
33 68 -1
34 69 -1
34 70 -1
35 71 -1
35 72 -1
36 73 -1
36 74 -1
37 75 -1
37 76 -1
38 77 -1
38 78 -1
39 79 -1
39 80 -1
40 81 -1
40 82 -1
41 83 -1
41 84 -1
42 85 -1
42 86 -1
43 87 -1
43 88 -1
44 89 -1
44 90 -1
45 91 -1
45 92 -1
46 93 -1
46 94 -1
47 95 -1
47 96 -1
48 97 -1
48 98 -1
49 99 -1
49 100 -1
50 101 -1
50 102 -1
51 103 -1
51 104 -1
52 105 -1
52 106 -1
53 107 -1
53 108 -1
54 109 -1
54 110 -1
55 111 -1
55 112 -1
56 113 -1
56 114 -1
57 115 -1
57 116 -1
58 117 -1
58 118 -1
59 119 -1
59 120 -1
60 121 -1
60 122 -1
61 123 -1
61 124 -1
62 125 -1
62 126 -1
63 127 -1
63 128 -1
64 129 -1
64 130 -1
65 131 -1
65 132 -1
66 133 -1
66 134 -1
67 135 -1
67 136 -1
68 137 -1
68 138 -1
69 139 -1
69 140 -1
70 141 -1
70 142 -1
71 143 -1
71 144 -1
72 145 -1
72 146 -1
73 147 -1
73 148 -1
74 149 -1
74 150 -1
75 151 -1
75 152 -1
76 153 -1
76 154 -1
77 155 -1
77 156 -1
78 157 -1
78 158 -1
79 159 -1
79 160 -1
80 161 -1
80 162 -1
81 163 -1
81 164 -1
82 165 -1
82 166 -1
83 167 -1
83 168 -1
84 169 -1
84 170 -1
85 171 -1
85 172 -1
86 173 -1
86 174 -1
87 175 -1
87 176 -1
88 177 -1
88 178 -1
89 179 -1
89 180 -1
90 181 -1
90 182 -1
91 183 -1
91 184 -1
92 185 -1
92 186 -1
93 187 -1
93 188 -1
94 189 -1
94 190 -1
95 191 -1
95 192 -1
96 193 -1
96 194 -1
97 195 -1
97 196 -1
98 197 -1
98 198 -1
99 199 -1
99 200 -1
100 201 -1
100 202 -1
101 203 -1
101 204 -1
102 205 -1
102 206 -1
103 207 -1
103 208 -1
104 209 -1
104 210 -1
105 211 -1
105 212 -1
106 213 -1
106 214 -1
107 215 -1
107 216 -1
108 217 -1
108 218 -1
109 219 -1
109 220 -1
110 221 -1
110 222 -1
111 223 -1
111 224 -1
112 225 -1
112 226 -1
113 227 -1
113 228 -1
114 229 -1
114 230 -1
115 231 -1
115 232 -1
116 233 -1
116 234 -1
117 235 -1
117 236 -1
118 237 -1
118 238 -1
119 239 -1
119 240 -1
120 241 -1
120 242 -1
121 243 -1
121 244 -1
122 245 -1
122 246 -1
123 247 -1
123 248 -1
124 249 -1
124 250 -1
125 251 -1
125 252 -1
126 253 -1
126 254 -1
127 255 -1
127 256 -1
128 257 -1
128 258 -1
129 259 -1
129 260 -1
130 261 -1
130 262 -1
131 263 -1
131 264 -1
132 265 -1
132 266 -1
133 267 -1
133 268 -1
134 269 -1
134 270 -1
135 271 -1
135 272 -1
136 273 -1
136 274 -1
137 275 -1
137 276 -1
138 277 -1
138 278 -1
139 279 -1
139 280 -1
140 281 -1
140 282 -1
141 283 -1
141 284 -1
142 285 -1
142 286 -1
143 287 -1
143 288 -1
144 289 -1
144 290 -1
145 291 -1
145 292 -1
146 293 -1
146 294 -1
147 295 -1
147 296 -1
148 297 -1
148 298 -1
149 299 -1
149 300 -1
150 301 -1
150 302 -1
151 303 -1
151 304 -1
152 305 -1
152 306 -1
153 307 -1
153 308 -1
154 309 -1
154 310 -1
155 311 -1
155 312 -1
156 313 -1
156 314 -1
157 315 -1
157 316 -1
158 317 -1
158 318 -1
159 319 -1
159 320 -1
160 321 -1
160 322 -1
161 323 -1
161 324 -1
162 325 -1
162 326 -1
163 327 -1
163 328 -1
164 329 -1
164 330 -1
165 331 -1
165 332 -1
166 333 -1
166 334 -1
167 335 -1
167 336 -1
168 337 -1
168 338 -1
169 339 -1
169 340 -1
170 341 -1
170 342 -1
171 343 -1
171 344 -1
172 345 -1
172 346 -1
173 347 -1
173 348 -1
174 349 -1
174 350 -1
175 351 -1
175 352 -1
176 353 -1
176 354 -1
177 355 -1
177 356 -1
178 357 -1
178 358 -1
179 359 -1
179 360 -1
180 361 -1
180 362 -1
181 363 -1
181 364 -1
182 365 -1
182 366 -1
183 367 -1
183 368 -1
184 369 -1
184 370 -1
185 371 -1
185 372 -1
186 373 -1
186 374 -1
187 375 -1
187 376 -1
188 377 -1
188 378 -1
189 379 -1
189 380 -1
190 381 -1
190 382 -1
191 383 -1
191 384 -1
192 385 -1
192 386 -1
193 387 -1
193 388 -1
194 389 -1
194 390 -1
195 391 -1
195 392 -1
196 393 -1
196 394 -1
197 395 -1
197 396 -1
198 397 -1
198 398 -1
199 399 -1
199 400 -1
200 401 -1
200 402 -1
201 403 -1
201 404 -1
202 405 -1
202 406 -1
203 407 -1
203 408 -1
204 409 -1
204 410 -1
205 411 -1
205 412 -1
206 413 -1
206 414 -1
207 415 -1
207 416 -1
208 417 -1
208 418 -1
209 419 -1
209 420 -1
210 421 -1
210 422 -1
211 423 -1
211 424 -1
212 425 -1
212 426 -1
213 427 -1
213 428 -1
214 429 -1
214 430 -1
215 431 -1
215 432 -1
216 433 -1
216 434 -1
217 435 -1
217 436 -1
218 437 -1
218 438 -1
219 439 -1
219 440 -1
220 441 -1
220 442 -1
221 443 -1
221 444 -1
222 445 -1
222 446 -1
223 447 -1
223 448 -1
224 449 -1
224 450 -1
225 451 -1
225 452 -1
226 453 -1
226 454 -1
227 455 -1
227 456 -1
228 457 -1
228 458 -1
229 459 -1
229 460 -1
230 461 -1
230 462 -1
231 463 -1
231 464 -1
232 465 -1
232 466 -1
233 467 -1
233 468 -1
234 469 -1
234 470 -1
235 471 -1
235 472 -1
236 473 -1
236 474 -1
237 475 -1
237 476 -1
238 477 -1
238 478 -1
239 479 -1
239 480 -1
240 481 -1
240 482 -1
241 483 -1
241 484 -1
242 485 -1
242 486 -1
243 487 -1
243 488 -1
244 489 -1
244 490 -1
245 491 -1
245 492 -1
246 493 -1
246 494 -1
247 495 -1
247 496 -1
248 497 -1
248 498 -1
249 499 -1
249 500 -1
250 501 -1
250 502 -1
251 503 -1
251 504 -1
252 505 -1
252 506 -1
253 507 -1
253 508 -1
254 509 -1
254 510 -1
255 511 -1
255 512 -1
256 513 -1
256 514 -1
257 515 -1
257 516 -1
258 517 -1
258 518 -1
259 519 -1
259 520 -1
260 521 -1
260 522 -1
261 523 -1
261 524 -1
262 525 -1
262 526 -1
263 527 -1
263 528 -1
264 529 -1
264 530 -1
265 531 -1
265 532 -1
266 533 -1
266 534 -1
267 535 -1
267 536 -1
268 537 -1
268 538 -1
269 539 -1
269 540 -1
270 541 -1
270 542 -1
271 543 -1
271 544 -1
272 545 -1
272 546 -1
273 547 -1
273 548 -1
274 549 -1
274 550 -1
275 551 -1
275 552 -1
276 553 -1
276 554 -1
277 555 -1
277 556 -1
278 557 -1
278 558 -1
279 559 -1
279 560 -1
280 561 -1
280 562 -1
281 563 -1
281 564 -1
282 565 -1
282 566 -1
283 567 -1
283 568 -1
284 569 -1
284 570 -1
285 571 -1
285 572 -1
286 573 -1
286 574 -1
287 575 -1
287 576 -1
288 577 -1
288 578 -1
289 579 -1
289 580 -1
290 581 -1
290 582 -1
291 583 -1
291 584 -1
292 585 -1
292 586 -1
293 587 -1
293 588 -1
294 589 -1
294 590 -1
295 591 -1
295 592 -1
296 593 -1
296 594 -1
297 595 -1
297 596 -1
298 597 -1
298 598 -1
299 599 -1
299 600 -1
300 601 -1
300 602 -1
301 603 -1
301 604 -1
302 605 -1
302 606 -1
303 607 -1
303 608 -1
304 609 -1
304 610 -1
305 611 -1
305 612 -1
306 613 -1
306 614 -1
307 615 -1
307 616 -1
308 617 -1
308 618 -1
309 619 -1
309 620 -1
310 621 -1
310 622 -1
311 623 -1
311 624 -1
312 625 -1
312 626 -1
313 627 -1
313 628 -1
314 629 -1
314 630 -1
315 631 -1
315 632 -1
316 633 -1
316 634 -1
317 635 -1
317 636 -1
318 637 -1
318 638 -1
319 639 -1
319 640 -1
320 641 -1
320 642 -1
321 643 -1
321 644 -1
322 645 -1
322 646 -1
323 647 -1
323 648 -1
324 649 -1
324 650 -1
325 651 -1
325 652 -1
326 653 -1
326 654 -1
327 655 -1
327 656 -1
328 657 -1
328 658 -1
329 659 -1
329 660 -1
330 661 -1
330 662 -1
331 663 -1
331 664 -1
332 665 -1
332 666 -1
333 667 -1
333 668 -1
334 669 -1
334 670 -1
335 671 -1
335 672 -1
336 673 -1
336 674 -1
337 675 -1
337 676 -1
338 677 -1
338 678 -1
339 679 -1
339 680 -1
340 681 -1
340 682 -1
341 683 -1
341 684 -1
342 685 -1
342 686 -1
343 687 -1
343 688 -1
344 689 -1
344 690 -1
345 691 -1
345 692 -1
346 693 -1
346 694 -1
347 695 -1
347 696 -1
348 697 -1
348 698 -1
349 699 -1
349 700 -1
350 701 -1
350 702 -1
351 703 -1
351 704 -1
352 705 -1
352 706 -1
353 707 -1
353 708 -1
354 709 -1
354 710 -1
355 711 -1
355 712 -1
356 713 -1
356 714 -1
357 715 -1
357 716 -1
358 717 -1
358 718 -1
359 719 -1
359 720 -1
360 721 -1
360 722 -1
361 723 -1
361 724 -1
362 725 -1
362 726 -1
363 727 -1
363 728 -1
364 729 -1
364 730 -1
365 731 -1
365 732 -1
366 733 -1
366 734 -1
367 735 -1
367 736 -1
368 737 -1
368 738 -1
369 739 -1
369 740 -1
370 741 -1
370 742 -1
371 743 -1
371 744 -1
372 745 -1
372 746 -1
373 747 -1
373 748 -1
374 749 -1
374 750 -1
375 751 -1
375 752 -1
376 753 -1
376 754 -1
377 755 -1
377 756 -1
378 757 -1
378 758 -1
379 759 -1
379 760 -1
380 761 -1
380 762 -1
381 763 -1
381 764 -1
382 765 -1
382 766 -1
383 767 -1
383 768 -1
384 769 -1
384 770 -1
385 771 -1
385 772 -1
386 773 -1
386 774 -1
387 775 -1
387 776 -1
388 777 -1
388 778 -1
389 779 -1
389 780 -1
390 781 -1
390 782 -1
391 783 -1
391 784 -1
392 785 -1
392 786 -1
393 787 -1
393 788 -1
394 789 -1
394 790 -1
395 791 -1
395 792 -1
396 793 -1
396 794 -1
397 795 -1
397 796 -1
398 797 -1
398 798 -1
399 799 -1
399 800 -1
400 801 -1
400 802 -1
401 803 -1
401 804 -1
402 805 -1
402 806 -1
403 807 -1
403 808 -1
404 809 -1
404 810 -1
405 811 -1
405 812 -1
406 813 -1
406 814 -1
407 815 -1
407 816 -1
408 817 -1
408 818 -1
409 819 -1
409 820 -1
410 821 -1
410 822 -1
411 823 -1
411 824 -1
412 825 -1
412 826 -1
413 827 -1
413 828 -1
414 829 -1
414 830 -1
415 831 -1
415 832 -1
416 833 -1
416 834 -1
417 835 -1
417 836 -1
418 837 -1
418 838 -1
419 839 -1
419 840 -1
420 841 -1
420 842 -1
421 843 -1
421 844 -1
422 845 -1
422 846 -1
423 847 -1
423 848 -1
424 849 -1
424 850 -1
425 851 -1
425 852 -1
426 853 -1
426 854 -1
427 855 -1
427 856 -1
428 857 -1
428 858 -1
429 859 -1
429 860 -1
430 861 -1
430 862 -1
431 863 -1
431 864 -1
432 865 -1
432 866 -1
433 867 -1
433 868 -1
434 869 -1
434 870 -1
435 871 -1
435 872 -1
436 873 -1
436 874 -1
437 875 -1
437 876 -1
438 877 -1
438 878 -1
439 879 -1
439 880 -1
440 881 -1
440 882 -1
441 883 -1
441 884 -1
442 885 -1
442 886 -1
443 887 -1
443 888 -1
444 889 -1
444 890 -1
445 891 -1
445 892 -1
446 893 -1
446 894 -1
447 895 -1
447 896 -1
448 897 -1
448 898 -1
449 899 -1
449 900 -1
450 901 -1
450 902 -1
451 903 -1
451 904 -1
452 905 -1
452 906 -1
453 907 -1
453 908 -1
454 909 -1
454 910 -1
455 911 -1
455 912 -1
456 913 -1
456 914 -1
457 915 -1
457 916 -1
458 917 -1
458 918 -1
459 919 -1
459 920 -1
460 921 -1
460 922 -1
461 923 -1
461 924 -1
462 925 -1
462 926 -1
463 927 -1
463 928 -1
464 929 -1
464 930 -1
465 931 -1
465 932 -1
466 933 -1
466 934 -1
467 935 -1
467 936 -1
468 937 -1
468 938 -1
469 939 -1
469 940 -1
470 941 -1
470 942 -1
471 943 -1
471 944 -1
472 945 -1
472 946 -1
473 947 -1
473 948 -1
474 949 -1
474 950 -1
475 951 -1
475 952 -1
476 953 -1
476 954 -1
477 955 -1
477 956 -1
478 957 -1
478 958 -1
479 959 -1
479 960 -1
480 961 -1
480 962 -1
481 963 -1
481 964 -1
482 965 -1
482 966 -1
483 967 -1
483 968 -1
484 969 -1
484 970 -1
485 971 -1
485 972 -1
486 973 -1
486 974 -1
487 975 -1
487 976 -1
488 977 -1
488 978 -1
489 979 -1
489 980 -1
490 981 -1
490 982 -1
491 983 -1
491 984 -1
492 985 -1
492 986 -1
493 987 -1
493 988 -1
494 989 -1
494 990 -1
495 991 -1
495 992 -1
496 993 -1
496 994 -1
497 995 -1
497 996 -1
498 997 -1
498 998 -1
499 999 -1
499 1000 -1
500 1001 -1
500 1002 -1
501 1003 -1
501 1004 -1
502 1005 -1
502 1006 -1
503 1007 -1
503 1008 -1
504 1009 -1
504 1010 -1
505 1011 -1
505 1012 -1
506 1013 -1
506 1014 -1
507 1015 -1
507 1016 -1
508 1017 -1
508 1018 -1
509 1019 -1
509 1020 -1
510 1021 -1
510 1022 -1
511 1977 954
511 2362 1339
511 2747 1724
511 2778 1755
511 3389 2366
511 4328 3305
511 4405 3382
511 5633 4610
511 5785 4762
511 5793 4770
511 5794 4771
511 6689 5666
511 7103 6080
511 7273 6250
511 8644 7621
511 9772 8749
511 11477 10454
511 11763 10740
511 11872 10849
511 11873 10850
511 11937 10914
511 12584 11561
511 12795 11772
511 12829 11806
511 13254 12231
511 14120 13097
511 14121 13098
511 15079 14056
511 15282 14259
511 15703 14680
511 17025 16002
511 18129 17106
511 18172 17149
511 18341 17318
511 18712 17689
511 18996 17973
511 19466 18443
511 19933 18910
511 20102 19079
